rows=100
cols=1000
(0, 24, 712)
(0, 131, 37)
(0, 184, 893)
(0, 299, -521)
(0, 381, -933)
(0, 605, -71)
(0, 618, -265)
(0, 793, 318)
(0, 818, 201)
(1, 240, -92)
(1, 392, -453)
(1, 616, 524)
(1, 658, 282)
(1, 842, 218)
(1, 862, -882)
(1, 992, 643)
(1, 995, -991)
(2, 68, -136)
(2, 104, -690)
(2, 194, -658)
(2, 228, 309)
(2, 403, -976)
(2, 441, 695)
(2, 634, -15)
(2, 834, -489)
(2, 843, -534)
(2, 901, 527)
(3, 46, -199)
(3, 127, 720)
(3, 407, -223)
(3, 434, -157)
(3, 465, 152)
(3, 470, 576)
(3, 503, -142)
(3, 735, 754)
(4, 142, -301)
(4, 300, 413)
(4, 445, 791)
(4, 558, -56)
(4, 782, -235)
(4, 798, -905)
(4, 873, 553)
(4, 987, -935)
(5, 161, 828)
(5, 389, 488)
(5, 415, 874)
(5, 450, 135)
(5, 481, -377)
(5, 540, -197)
(5, 637, 196)
(5, 646, -242)
(5, 790, 129)
(6, 171, -892)
(6, 252, -802)
(6, 281, 126)
(6, 302, 603)
(6, 604, 216)
(6, 744, -67)
(6, 790, -748)
(6, 983, 323)
(7, 154, -466)
(7, 210, -610)
(7, 227, 52)
(7, 360, 95)
(7, 446, 667)
(7, 732, 877)
(7, 792, -155)
(7, 799, -696)
(8, 169, -26)
(8, 185, 799)
(8, 188, 333)
(8, 251, 494)
(8, 295, -325)
(8, 532, -464)
(8, 660, 448)
(8, 692, -556)
(8, 773, -668)
(8, 848, 292)
(8, 854, 244)
(9, 54, 480)
(9, 175, -117)
(9, 234, -512)
(9, 519, -46)
(9, 561, -289)
(9, 710, -236)
(9, 716, 921)
(9, 856, 385)
(9, 867, -165)
(9, 915, -768)
(10, 13, -171)
(10, 37, 634)
(10, 100, -703)
(10, 144, -504)
(10, 266, 292)
(10, 332, -340)
(10, 381, 493)
(10, 422, 408)
(10, 464, 440)
(10, 475, -864)
(10, 526, -649)
(10, 582, 815)
(10, 691, 74)
(11, 308, -616)
(11, 314, -553)
(11, 428, 422)
(11, 485, 105)
(11, 524, -617)
(11, 614, -465)
(11, 637, 529)
(11, 712, -276)
(11, 786, 947)
(11, 899, -593)
(11, 910, -716)
(11, 997, 400)
(12, 113, -934)
(12, 246, -516)
(12, 301, 909)
(12, 476, 569)
(12, 538, 772)
(12, 610, -138)
(12, 707, -927)
(12, 857, -602)
(12, 875, 226)
(12, 949, -124)
(13, 223, -387)
(13, 272, 996)
(13, 383, 694)
(13, 451, 558)
(13, 469, -579)
(13, 562, 378)
(13, 581, -939)
(13, 712, -751)
(13, 881, 632)
(14, 9, 490)
(14, 264, 590)
(14, 579, -800)
(14, 639, 198)
(14, 657, 854)
(14, 739, 59)
(14, 748, -279)
(14, 907, -247)
(15, 60, -401)
(15, 102, -342)
(15, 143, 583)
(15, 227, 753)
(15, 259, -295)
(15, 330, 927)
(15, 346, -267)
(15, 374, 76)
(15, 390, -66)
(15, 659, -221)
(15, 773, -234)
(15, 905, -418)
(16, 110, -880)
(16, 115, 700)
(16, 385, 52)
(16, 420, 459)
(16, 540, -418)
(16, 576, 15)
(16, 734, 548)
(16, 840, -606)
(17, 21, -974)
(17, 62, -337)
(17, 81, -493)
(17, 123, 178)
(17, 195, 430)
(17, 287, 128)
(17, 314, -517)
(17, 466, -633)
(17, 478, -635)
(17, 548, -540)
(17, 632, 25)
(18, 33, 952)
(18, 94, -251)
(18, 273, 521)
(18, 335, 672)
(18, 345, -36)
(18, 356, -539)
(18, 381, -283)
(18, 424, 918)
(18, 485, -186)
(18, 495, 113)
(18, 634, 751)
(18, 695, 886)
(18, 717, 675)
(18, 867, 925)
(19, 117, -491)
(19, 286, -753)
(19, 423, -159)
(19, 484, 924)
(19, 748, 163)
(19, 749, -65)
(19, 755, 233)
(19, 902, 340)
(19, 992, -906)
(20, 7, -976)
(20, 235, -96)
(20, 239, -100)
(20, 452, -212)
(20, 583, -155)
(20, 706, -941)
